Name,Price,Seller Name,Seller Location,Seller Phone,Item,Brand,Condition,Laptop Type,Processor Type,Processor Speed,Screen Size,RAM,Hard Disk,Disk Type,Graphics Card,Networking,Webcam,Card Reader,Battery,Keyboard,Software,Dimensions (W x D x H),Product Weight (Kg),Series,Chipset,Audio/Speaker,Optical Drive,Model,Extra Slot,Ports,Other Features
HP ZBook Firefly 14 G8 i5 11th Gen Mobile Workstation,"৳ 55,000",Pc Geek BD,ElephantRoad,01763322100,Used Laptop,HP,Used,Gaming,Intel Core i5 11th Gen,Up to 4.40GHz,14 Inch diagonal FHD,16GB DDR4,512GB,SSD,Intel Iris Graphics,"Intel AX201 Wi-Fi 6 (2 x 2) and Bluetooth 5 Combo, vPro UMA",Integrated HD 720p DualAryMic Webcam,Active SmartCard,3 Cell 53 WHr Long Life Battery,Dual Point Backlit spill-resistant Premium Keyboard,Windows,12.73 x 8.45 x 0.71 Inch,1.35 Kg,HP ZBook,,,,,,,
HP 15-fd0205TU Core i5 13th Gen Laptop,"৳ 62,000",SHAH MOJIDA RASHIDA Technology,Akbarshah,01848110813,Used Laptop,HP,Used,Standard,Intel Core i5-1335U 13th generation,"up to 4.6GHz, 12MB L3 Cache","15.6"" FHD LED Micro-Edge, Anti-Glare, 250nits Brightness, 45% NTSC",8GB DDR4 3200MHz,512GB M.2,SSD,Intel UHD Graphics,"Realtek Wi-Fi 6 2 x 2, Bluetooth V5.3",HP True Vision 720p HD camera with temporal noise reduction,,"3-Cell, Li-ion Polymer, 41Wh Capacity",Full-Size,Windows,35.98 x 23.6 x 1.86 cm,1.59 Kg,Others,Intel integrated SoC,Duel Speaker,,,,,
Dell Inspiron 14 3421 Core i3 3rd Gen Slim Laptop,"৳ 12,000",ZOOM COMPUTERS,Mirpur,01798303030,Used Laptop,Dell,Used,Standard,Intel Core i3-3217U 3rd Generation,"1.8 GHz, with UMA, 3M Cache","14"" HD LED display",4GB DDR 31600MHz,750 GB,HDD,Intel HD 4000,"Gigabit Lan, Wifi, Blutooth",1.3mp,Multi Card Reader,4 Cell,Standard,Windows,346 x 245 x 25.3 mm,2 Kg,Dell Inspiron,Intel HM 77 chipset,Altec Lansing,Dvd Writer,,,,
Dell Latitude 7400 Core i5 8th Gen Laptop,"৳ 25,000",As Computer Technology,ElephantRoad,01705170511,Used Laptop,Dell,Used,Standard,Intel Core i5-8265U 8th Generation,"6M Cache, up to 3.90 GHz",14 inch LED,8GB DDR4 2400MHz,256GB NVME M.2,SSD,Intel UHD 620 Graphics,"Intel Dual Band Wireless AC 9560 (802.11ac) 2x2, Bluetooth 5.0",IR Camera,,4-Cell 60Whr,"Full Sized, Optional",Windows,319.77 x 199.9 x 14.89 mm,1.36 Kg,Dell Latitude,Intel,High Quality Speakers,N/A,,,,
Dell Latitude 7400 Core i5 8th Gen 16GB RAM 256GB SSD,"৳ 32,000",JM Computer Fair,ElephantRoad,01320583910,Used Laptop,Dell,Used,Standard,Intel Core i5-8365U 8th Generation,"Base Frequency 1.60 GHz up to 3.90 GHz, 6M Cache","14"" FHD IPS Borderless",16GB DDR4,256GB NVMe,SSD,8Gb Intel UHD,"Intel Dual Band Wireless AC 9560 802.11ac 2 x 2, Bluetooth V5.0",HD Camera,Yes,4-Cell 60Whr,"Full Sized, Optional",Windows,12.59 x 7.87 x 0.34-0.59 inch,1.36 Kg,Dell Latitude,,High Quality Speakers,N/A,,,,
HP ProBook 440 G7 Core i5 10th Gen 512GB SSD Laptop,"৳ 38,000",Mr. Tech,ElephantRoad,01911570045,Used Laptop,HP,Used,Standard,Intel Core i5-10210U 10th Gen,"6M Cache, 1.60 GHz up to 4.20 GHz","14-inch diagonal FHD IPS eDP anti-glare slim, 250 nits, 45% NTSC",16GB DDR4 2666MHz,512GB NVMe,SSD,Intel Ultra HD 8GB,"Intel Dual Band Wireless-AC 9560 802.11a/b/g/n/ac 2 x 2 WLAN and Bluetooth 5 Combo, non-vPro, Realtek 10/100/1000 GbE NIC",720p HD camera,"Supports SD, SDHC, and SDXC","HP Long Life 3-cell, 45 Wh Li-ion",LED Backlit,Windows,32.42 x 23.77 x 1.80 cm,Starting at 1.6 kg,HP Probook,,2 Integrated stereo speaker,N/A,,,,
"HP ZBook Firefly 14 G7 Core i5 10th Gen 14"" FHD Laptop","৳ 42,000",Bangladesh Laptop Gallery,ElephantRoad,01687321007,Used Laptop,HP,Used,Standard,Intel Core i5 10310U 10th Generation,"6M Cache, up to 4.40 GHz","14 inch diagonal with HP SureView Reflect Integrated Privacy Display, FHD IPS eDP and PSR anti-glare, 72% NTSC at 1000 nits",16 GB DDR4 2667MHz,256 GB PCIe Gen 3 x4 NVMe M.2,SSD,Intel UHD Graphics,"Intel Wi-Fi 6 AX201 (2 x 2) and Bluetooth 5 combo, vPro",720p HD webcam,1 x smart card reader,"HP Long Life 3-cell, 53 Wh Li-ion",Spill Resistant and Full Size,Windows,12.74 x 8.45 x 0.71 inch,Starting at 1.34 Kg,HP ZBook,Integrated with Processor,Yes,N/A,,,,
HP ProBook 640 G3 Core i5 7th Gen Laptop,"৳ 21,200",Next Future It,Uttara,01920677960,Used Laptop,HP,Used,Standard,Intel Core i5-7200U 7th Generation,"3M Cache, up to 3.10 GHz",14 inch diagonal LED-backlit HD SVA eDP Anti-glare Slim 45% CG 220 nits,8GB DDR4,256 GB,SSD,Intel HD Graphics 620,Intel Dual Band Wireless-AC 7265 802.11a/b/g/n/ac 2 x 2 Wi-Fi and Bluetooth 4.2 Combo,720p HD webcam,"Yes, SD, SDHC, and SDXC supported","HP 3-Cell, 48 WHr Long Life Prismatic",Backlight,Windows,Starting at 1.95 kg,34.01 x 23.70 x 2.69 cm,HP Probook,Intel,2 x Integrated audio speakers,Yes,,,,
HP EliteBook 840 G6,"৳ 27,500",TWO STAR LAPTOP,ElephantRoad,01723574892,Used Laptop,HP,Used,Standard,Intel Core i5-8265U 8th Generation,"1.60GHz Base Frequency up to 3.90GHz, 6M Cache","14"" Diagonal FHD IPS Anti-Glare LED-Backlit Display",8GB DDR4 2400Mhz,256GB,SSD,Intel UHD Graphics 620 Graphics,"Intel Dual Band Wireless-AC 9560 802.11a/b/g/n/ac (2 x 2), Bluetooth 5 Combo",720p HD Camera,Multi Card Reader,"HP Long Life 3-cell, 50 Wh Li-ion","HP Premium Collaboration Keyboard, and spill-resistant with drain",Windows,32.6 x 23.43 x 17.9cm,1.48Kg,HP EliteBook,,Dual Stereo Speakers,,✅ 840 G6,Up to 32GB,,
HP EliteBook 845 G7 Ryzen 5 Pro 4650U 16GB RAM,"৳ 36,000",Laptop Core Technology,Mirpur,01836583433,Used Laptop,HP,Used,Standard,AMD Ryzen 5 Pro 4650U,"6 Cores, 12 Threads, 8MB Cache, Max. Boost Clock Up to 4.0GHz",14″ IPS 1920 x 1080p (Full HD),16GB DDR4,512GB NVMe,SSD,8GB Graphic Integated with Processor,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, Bluetooth, IEEE 802.11g, NFC, IEEE 802.11ax (Wi-Fi 6), IEEE 802.11n",720p HD Camera,Yes,Up to 4 hours of Local Video Playback,Backlit,Windows 10,12.95 x 8.94 x 0.70 inches,1.55 Kg,HP EliteBook,Ryzen,Dolby Advanced Audio Speakers,No,,SSD Upgrade,,
