Name,Price,PriceScore,Processor Type,ProcessorScore,RAM,RAMScore,Hard Disk,StorageScore,Graphics Card,GraphicsScore,Screen Size,ScreenScore,TotalScore,NormalizedScore
Lenovo ThinkPad T495 Ryzen 7 Pro-3700U Touch Laptop,39999.0,7.8340072202166064,Ryzen 7 Pro-3700U,5.71875,32.0,10.0,512GB NVMe,9.0,AMD Radeon-16GB with Redeon Vega 10 2GB Dedicated,6,14 inch FHD Wide View Angle Anti Glare 300-nits LED Backlit Touch Display,9.0,8.599227888086643,100.0
HP EliteBook 845 G8 Ryzen 5 Pro 5650 512GB SSD Laptop,39500.0,7.870036101083032,AMD Ryzen 5 PRO 5650U,7.13125,16.0,8.0,512GB NVMe,9.0,AMD Radeon 8GB,6,"14"" diagonal FHD IPS eDP anti-glare WLED-backlit bent, 250 nits, 45% NTSC",9.0,8.437389440433213,97.671130516084
HP EliteBook 840 G7 Core i5 10th Gen 16GB RAM Notebook,39000.0,7.906137184115524,Intel Core i5 10th Gen,7.0,16.0,8.0,512GB PCIe NVMe,9.0,Intel UHD,4,"14.1"" Diagonal FHD",9.05,8.31245487364621,95.87331112090797
HP ProBook 440 G7 Core i5 10th Gen 512GB SSD Laptop,38000.0,7.978339350180505,Intel Core i5-10210U 10th Gen,7.0,16.0,8.0,512GB NVMe,9.0,Intel Ultra HD 8GB,3,"14-inch diagonal FHD IPS eDP anti-glare slim, 250 nits, 45% NTSC",9.0,8.291335740072203,95.56940493285198
"Dell Latitude 5411 Core i5 10th Gen 14"" Display",37000.0,8.050541516245488,Intel Core i5-10210U 10th Generation,7.0,16.0,8.0,256GB,7.0,8GB Intel UHD Graphics,4,"14"" FHD LED",9.0,8.270216606498195,95.265498744796
Dell Latitude 3410 Core i5 10th Gen Laptop,37000.0,8.050541516245488,Intel Core i5-10210U 10th Generation,7.0,16.0,8.0,256GB,7.0,Intel UHD GPU,4,"14"" FHD Anti-Glare Display",9.0,8.270216606498195,95.265498744796
Lenovo T490 Core i5 10th Gen 256GB SSD Laptop,36000.0,8.12274368231047,Intel Core i5-10210U 10th Generation,7.0,16.0,8.0,256GB PCIe M.2 NVMe Class 35,7.0,Shared 8GB,3,14 inch FHD LED 400nit Brightness,9.0,8.249097472924188,94.96159255674003
Lenovo ThinkPad T480s Core i7 8th Gen 512GB SSD Laptop,32999.0,8.33942238267148,Intel Core i7-8650U 8th Generation,6.199999999999999,16.0,8.0,512GB PCIe M.2 NVMe Class 35,9.0,Intel UHD Graphics 620,4,"14"" diagonal FHD display",9.0,8.245768953068591,94.91369486351135
Lenovo ThinkPad T14s Core i5 10th Gen 16GB RAM Laptop,37999.0,7.978411552346571,Core i5 10th Gen,7.0,16.0,8.0,256 M.2 NVME,7.0,Intel UHD 8 GB,4,"14"" FHD 180 Degrees Roted",9.0,8.24136462093863,94.8503161371134
Dell Latitude E7470 Core i7 6th Gen 512GB SSD Laptop,17000.0,9.494584837545126,Intel Core i7 6th Generation,4.799999999999999,16.0,8.0,512GB PCIe NVMe M.2,9.0,Intel HD Graphics 5500,3,14.0 FHD Display,9.0,8.23783393501805,94.7995092564435
